,boro,hour,crime_weighted
0,BROOKLYN,0,1925
1,BROOKLYN,1,407
2,BROOKLYN,2,212
3,BROOKLYN,3,102
4,BROOKLYN,4,130
5,BROOKLYN,5,58
6,BROOKLYN,6,268
7,BROOKLYN,7,483
8,BROOKLYN,8,965
9,BROOKLYN,9,513
10,BROOKLYN,10,552
11,BROOKLYN,11,699
12,BROOKLYN,12,1004
13,BROOKLYN,13,1011
14,BROOKLYN,14,1766
15,BROOKLYN,15,2439
16,BROOKLYN,16,2156
17,BROOKLYN,17,1886
18,BROOKLYN,18,1453
19,BROOKLYN,19,1281
20,BROOKLYN,20,1221
21,BROOKLYN,21,909
22,BROOKLYN,22,719
23,BROOKLYN,23,549
24,STATEN ISLAND,0,157
25,STATEN ISLAND,1,48
26,STATEN ISLAND,2,17
27,STATEN ISLAND,3,31
28,STATEN ISLAND,4,14
29,STATEN ISLAND,5,25
30,STATEN ISLAND,6,105
31,STATEN ISLAND,7,118
32,STATEN ISLAND,8,148
33,STATEN ISLAND,9,117
34,STATEN ISLAND,10,115
35,STATEN ISLAND,11,135
36,STATEN ISLAND,12,264
37,STATEN ISLAND,13,263
38,STATEN ISLAND,14,504
39,STATEN ISLAND,15,374
40,STATEN ISLAND,16,260
41,STATEN ISLAND,17,253
42,STATEN ISLAND,18,240
43,STATEN ISLAND,19,146
44,STATEN ISLAND,20,202
45,STATEN ISLAND,21,165
46,STATEN ISLAND,22,190
47,STATEN ISLAND,23,191
48,QUEENS,0,760
49,QUEENS,1,261
50,QUEENS,2,197
51,QUEENS,3,96
52,QUEENS,4,54
53,QUEENS,5,88
54,QUEENS,6,128
55,QUEENS,7,620
56,QUEENS,8,631
57,QUEENS,9,436
58,QUEENS,10,390
59,QUEENS,11,461
60,QUEENS,12,767
61,QUEENS,13,664
62,QUEENS,14,1155
63,QUEENS,15,1695
64,QUEENS,16,1515
65,QUEENS,17,1114
66,QUEENS,18,1018
67,QUEENS,19,936
68,QUEENS,20,799
69,QUEENS,21,587
70,QUEENS,22,531
71,QUEENS,23,376
72,BRONX,0,789
73,BRONX,1,250
74,BRONX,2,237
75,BRONX,3,192
76,BRONX,4,83
77,BRONX,5,114
78,BRONX,6,159
79,BRONX,7,418
80,BRONX,8,772
81,BRONX,9,523
82,BRONX,10,489
83,BRONX,11,682
84,BRONX,12,766
85,BRONX,13,658
86,BRONX,14,1532
87,BRONX,15,2086
88,BRONX,16,1775
89,BRONX,17,1467
90,BRONX,18,1292
91,BRONX,19,1104
92,BRONX,20,939
93,BRONX,21,711
94,BRONX,22,712
95,BRONX,23,565
96,MANHATTAN,0,343
97,MANHATTAN,1,129
98,MANHATTAN,2,111
99,MANHATTAN,3,84
100,MANHATTAN,4,62
101,MANHATTAN,5,59
102,MANHATTAN,6,110
103,MANHATTAN,7,312
104,MANHATTAN,8,394
105,MANHATTAN,9,289
106,MANHATTAN,10,322
107,MANHATTAN,11,434
108,MANHATTAN,12,731
109,MANHATTAN,13,535
110,MANHATTAN,14,875
111,MANHATTAN,15,1163
112,MANHATTAN,16,999
113,MANHATTAN,17,847
114,MANHATTAN,18,774
115,MANHATTAN,19,590
116,MANHATTAN,20,542
117,MANHATTAN,21,536
118,MANHATTAN,22,388
119,MANHATTAN,23,276
